requirement_id,objective_id,objective_text,source_page_start,source_page_end,source_document,source_version
AC.L2-3.1.1,a,authorized users are identified;,22,24,AssessmentGuideL2v2.pdf,2.13
AC.L2-3.1.1,b,processes acting on behalf of authorized users are identified;,22,24,AssessmentGuideL2v2.pdf,2.13
AC.L2-3.1.1,c,devices (and other systems) authorized to connect to the system are identified;,22,24,AssessmentGuideL2v2.pdf,2.13
AC.L2-3.1.1,d,system access is limited to authorized users;,22,24,AssessmentGuideL2v2.pdf,2.13
AC.L2-3.1.1,e,system access is limited to processes acting on behalf of authorized users; and,22,24,AssessmentGuideL2v2.pdf,2.13
AC.L2-3.1.1,f,system access is limited to authorized devices (including other systems).,22,24,AssessmentGuideL2v2.pdf,2.13
AC.L2-3.1.2,a,the types of transactions and functions that authorized users are permitted to execute are defined; and,25,26,AssessmentGuideL2v2.pdf,2.13
AC.L2-3.1.2,b,system access is limited to the defined types of transactions and functions for authorized users.,25,26,AssessmentGuideL2v2.pdf,2.13
AC.L2-3.1.3,a,information flow control policies are defined;,27,29,AssessmentGuideL2v2.pdf,2.13
AC.L2-3.1.3,b,methods and enforcement mechanisms for controlling the flow of CUI are defined;,27,29,AssessmentGuideL2v2.pdf,2.13
AC.L2-3.1.3,c,"designated sources and destinations (e.g., networks, individuals, and devices) for CUI within the system and between interconnected systems are identified;",27,29,AssessmentGuideL2v2.pdf,2.13
AC.L2-3.1.3,d,authorizations for controlling the flow of CUI are defined; and,27,29,AssessmentGuideL2v2.pdf,2.13
AC.L2-3.1.3,e,approved authorizations for controlling the flow of CUI are enforced.,27,29,AssessmentGuideL2v2.pdf,2.13
AC.L2-3.1.4,a,the duties of individuals requiring separation are defined;,30,31,AssessmentGuideL2v2.pdf,2.13
AC.L2-3.1.4,b,responsibilities for duties that require separation are assigned to separate individuals; and,30,31,AssessmentGuideL2v2.pdf,2.13
AC.L2-3.1.4,c,access privileges that enable individuals to exercise the duties that require separation are granted to separate individuals.,30,31,AssessmentGuideL2v2.pdf,2.13
AC.L2-3.1.5,a,privileged accounts are identified;,32,34,AssessmentGuideL2v2.pdf,2.13
AC.L2-3.1.5,b,access to privileged accounts is authorized in accordance with the principle of least privilege;,32,34,AssessmentGuideL2v2.pdf,2.13
AC.L2-3.1.5,c,se curity functions are identified; and,32,34,AssessmentGuideL2v2.pdf,2.13
AC.L2-3.1.5,d,access to security functions is authorized in accordance with the principle of least privilege.,32,34,AssessmentGuideL2v2.pdf,2.13
