domain_code,requirement_id,title,statement,source_page_start,source_page_end,source_document,source_version
AC,AC.L2-3.1.1,Authorized Access Control [CUI Data],"Limit system access to authorized users, processes acting on behalf of authorized users, and devices (including other systems).",22,24,AssessmentGuideL2v2.pdf,2.13
AC,AC.L2-3.1.2,Transaction & Function Control,Limit system access to the types of transactions and functions that authorized users are permitted to execute.,25,26,AssessmentGuideL2v2.pdf,2.13
AC,AC.L2-3.1.3,Control CUI Flow,Control the flow of CUI in accordance with approved authorizations.,27,29,AssessmentGuideL2v2.pdf,2.13
AC,AC.L2-3.1.4,Separation of Duties,Separate the duties of individuals to reduce the risk of malevolent activity without collusion.,30,31,AssessmentGuideL2v2.pdf,2.13
AC,AC.L2-3.1.5,Least Privilege,"Employ the principle of least privilege, including for specific security functions and privileged accounts.",32,34,AssessmentGuideL2v2.pdf,2.13
AC,AC.L2-3.1.6,Non-Privileged Account Use,Use non-privileged accounts or roles when accessing nonsecurity functions.,35,36,AssessmentGuideL2v2.pdf,2.13
AC,AC.L2-3.1.7,Privileged Functions,Prevent non-privileged users from executing privileged functions and capture the execution of such functions in audit logs.,37,39,AssessmentGuideL2v2.pdf,2.13
AC,AC.L2-3.1.8,Unsuccessful Logon Attempts,Limit unsuccessful logon attempts.,40,41,AssessmentGuideL2v2.pdf,2.13
AC,AC.L2-3.1.9,Privacy & Security Notices,Provide privacy and security notices consistent with applicable CUI rules.,42,43,AssessmentGuideL2v2.pdf,2.13
AC,AC.L2-3.1.10,Session Lock,Use session lock with pattern- hiding displays to prevent access and viewing of data after a period of inactivity.,44,45,AssessmentGuideL2v2.pdf,2.13
AC,AC.L2-3.1.11,Session Termination,Terminate (automatically) a user session after a defined condition.,46,47,AssessmentGuideL2v2.pdf,2.13
AC,AC.L2-3.1.12,Control Remote Access,Monitor and control remote access sessions.,48,50,AssessmentGuideL2v2.pdf,2.13
AC,AC.L2-3.1.13,Remote Access Confidentiality,Employ cryptographic mechanisms to protect the confidentiality of remote access sessions.,51,52,AssessmentGuideL2v2.pdf,2.13
AC,AC.L2-3.1.14,Remote Access Routing,Route remote access via managed access control points.,53,54,AssessmentGuideL2v2.pdf,2.13
AC,AC.L2-3.1.15,Privileged Remote Access,Authorize remote execution of privileged commands and remote access to security-relevant information.,55,57,AssessmentGuideL2v2.pdf,2.13
AC,AC.L2-3.1.16,Wireless Access Authorization,Authorize wireless access prior to allowing such connections.,58,59,AssessmentGuideL2v2.pdf,2.13
AC,AC.L2-3.1.17,Wireless Access Protection,Protect wireless access using authentication and encryption.,60,61,AssessmentGuideL2v2.pdf,2.13
AC,AC.L2-3.1.18,Mobile Device Connection,Control connection of mobile devices.,62,63,AssessmentGuideL2v2.pdf,2.13
AC,AC.L2-3.1.19,Encrypt CUI on Mobile,Encrypt CUI on mobile devices and mobile computing platforms.,64,65,AssessmentGuideL2v2.pdf,2.13
AC,AC.L2-3.1.20,External Connections [CUI Data],Verify and control/limit connections to and use of external systems.,66,68,AssessmentGuideL2v2.pdf,2.13
AC,AC.L2-3.1.21,Portable Storage Use,Limit use of portable storage devices on external systems.,69,70,AssessmentGuideL2v2.pdf,2.13
AC,AC.L2-3.1.22,Control Public Information [CUI Data],Control CUI posted or processed on publicly accessible systems.,71,72,AssessmentGuideL2v2.pdf,2.13
AT,AT.L2-3.2.1,Role-Based Risk Awareness,"Ensure that managers, system s administrators, and users of organizational systems are made aware of the security risks associated with their activities and of the applicable policies, standards, and procedures related to the security of those systems.",73,75,AssessmentGuideL2v2.pdf,2.13
AT,AT.L2-3.2.2,Role-Based Training,Ensure that personnel are trained to carry out their assigned information security -related duties and responsibilities.,76,77,AssessmentGuideL2v2.pdf,2.13
AT,AT.L2-3.2.3,Insider Threat Awareness,Provide security awareness training on recognizing and reporting potential indicators of insider threat.,78,79,AssessmentGuideL2v2.pdf,2.13
AU,AU.L2-3.3.1,System Auditing,"Create and retain system audit logs and records to the extent needed to enable the monitoring, analysis, investigation, and reporting of unlawful or unauthorized system activity.",80,82,AssessmentGuideL2v2.pdf,2.13
AU,AU.L2-3.3.2,User Accountability,Ensure that the actions of individual system users can be uniquely traced to those users so they can be held accountable for their actions.,83,84,AssessmentGuideL2v2.pdf,2.13
AU,AU.L2-3.3.3,Event Review,Review and update logged events.,85,86,AssessmentGuideL2v2.pdf,2.13
AU,AU.L2-3.3.4,Audit Failure Alerting,Alert in the event of an audit logging process failure.,87,88,AssessmentGuideL2v2.pdf,2.13
